id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
001d12b8-286a-4186-b048-0da342fa9b2b,flaxcotton.cool,available,9.99,,56,0,11,name.com,,
00484c99-f31b-4f48-8195-c4d2f769766e,pairs.cool,available,9.99,,54,11,5,name.com,,
00632f24-b463-429a-bd84-e796cea596f4,forces.cool,available,9.99,,82,12,6,name.com,,
007d072e-5098-4513-b133-a21103474d68,werewolves.cool,available,9.99,,44,7,10,name.com,,
00865c67-e3c6-482f-b31c-6be49c73e09d,typed.cool,available,9.99,,70,11,5,name.com,,
00add18b-0008-42c8-ac57-604e862fdb67,flashflooding.cool,available,9.99,,52,0,14,name.com,,
00da18df-319e-497a-8eab-509c470ec9c4,transported.cool,available,9.99,,61,4,11,name.com,,
00e2c0a6-5fc7-4a54-8d0a-e3ebd9c4e08d,SaintGeorge.cool,available,50.98,,54,6,12,namecheap,,
00e31044-f229-454c-9909-f87af0ce4d66,fellowfeel.cool,available,9.99,,72,1,10,name.com,,
00e37b97-b0c2-4f1f-9fa8-50c2175a4f65,suppresses.cool,available,9.99,,44,1,10,name.com,,
00ee1d50-6242-4cd5-b5c9-78b74a96dcc6,herbaltea.cool,available,9.99,,80,5,10,name.com,,
01018ba4-87c5-4a26-8ac2-883575e1545b,threats.cool,available,9.99,,44,8,7,name.com,,
01147aad-069f-4046-b6a1-640f56c029db,youwish.cool,available,9.99,,60,5,8,name.com,,
01181123-82b4-4f2c-8455-70d258b63bb2,enlightenment.cool,available,9.99,,62,18,13,name.com,,
0182bcae-1998-4d1d-ac17-f7985d0d03ed,Mikey.cool,available,50.98,,70,21,5,namecheap,,
019e61e3-d172-4e42-91f9-0cd4e440014a,wars.cool,available,9.99,,48,10,4,name.com,,
01b45dcc-77ac-4734-b8ec-b6841a27d292,disinfection.cool,available,9.99,,74,5,12,name.com,,
026ef7e0-c1db-475f-9630-1d7d6281ff05,quitting.cool,available,9.99,,54,4,8,name.com,,
0272c661-3b01-44e1-8043-284364f394d6,organisational.cool,available,9.99,,54,1,14,name.com,,
02aeb8f4-6002-4403-a9d9-758223fae167,liberties.cool,available,9.99,,56,6,9,name.com,,
0343fd03-6c62-4b46-99fe-877099be3e85,bedframe.cool,available,9.99,,80,3,9,name.com,,
034af55d-b49a-4930-a309-4521cc9fe8bf,Ihaveadisability.cool,available,50.98,,50,1,19,namecheap,,
03744e63-8ee5-4c51-97bb-ecab1aa1f34f,smashdown.cool,available,9.99,,58,2,10,name.com,,
03ac8cb6-f405-429a-944a-8a6fda913f88,comeupto.cool,available,9.99,,72,1,10,name.com,,
0426a2d3-c6b2-4e61-ab28-1c0df2cf892a,goonthen.cool,available,9.99,,48,1,10,name.com,,
044b28d0-59ce-4106-9bf8-7cabd6763a0f,sobeit.cool,available,9.99,,52,5,8,name.com,,
04590ca3-3739-497b-89f4-a92fa4261b44,ambivalence.cool,available,9.99,,76,4,11,name.com,,
0474702e-8283-44fc-b43c-e25037bc4d67,indoor.cool,available,9.99,,72,15,6,name.com,,
04d71666-e38c-48bc-a2a2-9fc822fb509b,keepnote.cool,available,9.99,,48,2,9,name.com,,
04ed8ca3-fed5-4159-b690-9437468c4dad,coffeewoman.cool,available,9.99,,80,2,11,name.com,,
04eef7b6-d5d3-4229-a607-07f8f092bf56,leavenotrace.cool,available,9.99,,68,4,14,name.com,,
04f492c8-9f40-4edb-89f8-99e799215b91,highresolution.cool,available,9.99,,64,3,15,name.com,,
04f668d1-094c-422c-aa52-f11076dac5c7,placeupon.cool,available,9.99,,48,1,10,name.com,,
051f0414-f4cc-4ecd-bc99-2c83b79b94b8,wandered.cool,available,9.99,,56,4,8,name.com,,
0521a436-c537-419d-b26e-42a8e76ad311,puzzles.cool,premium,123.75,,52,16,7,name.com,,
05301b79-29b3-4063-a87e-c44c106f0f4c,hoho.cool,available,9.99,,62,13,5,name.com,,
0543a533-e7b5-4d5c-8dd3-7ae43b13307f,units.cool,available,9.99,,56,16,5,name.com,,
054b5a6e-73bd-4ff5-a8d3-8e20b8bb6742,droppingin.cool,available,9.99,,70,2,11,name.com,,
054e0578-b377-41cb-bded-5fd68a6bf2ea,functions.cool,available,9.99,,54,12,9,name.com,,
058332ac-f2e0-4f25-b492-92b0b8cd3ba5,walktheline.cool,available,9.99,,68,3,13,name.com,,
05cc36f6-23c1-4fc3-add0-5d0b31192fcc,hammerout.cool,available,9.99,,70,1,10,name.com,,
05dce5a7-0123-40b0-9a5d-ed9d8387c21a,inthemoment.cool,available,9.99,,48,7,13,name.com,,
05e68ba9-fcd7-4ab1-806a-f7da4392cdb9,Itellalie.cool,available,50.98,,58,1,12,namecheap,,
05ebdc9c-daf2-4034-b404-45d81b615842,ontop.cool,available,9.99,,66,14,6,name.com,,
05fe6e24-2c72-4205-be1b-baa69fce9bde,Frenchfried.cool,available,50.98,,70,2,12,namecheap,,
061c0a1a-d389-40b2-af11-8efaff98fd56,goingforward.cool,available,9.99,,48,4,13,name.com,,
064959be-736a-48fc-91cf-436c7f38561b,getoneoveron.cool,available,9.99,,64,0,15,name.com,,
06605566-c003-4831-9148-40fca349ef6c,inprivate.cool,available,9.99,,70,3,10,name.com,,
06cf5580-6b0f-47f1-bc21-7e4649674d5a,goingover.cool,available,9.99,,72,1,10,name.com,,
0708848c-af55-423d-a928-0668da9c1964,Ichooseviolence.cool,available,50.98,,44,1,17,namecheap,,
07275181-72c6-4396-962a-fe8c59ffb979,getlucky.cool,available,9.99,,84,10,9,name.com,,
074b1c0f-6e67-4b01-b173-ea5949f8c6e3,chaitea.cool,available,9.99,,86,3,8,name.com,,
07563bff-4de2-464b-936b-a578d320f10a,couples.cool,available,9.99,,52,14,7,name.com,,
078a7624-17d9-4570-994f-24bbaaf71b09,objected.cool,available,9.99,,48,2,8,name.com,,
0790fb20-42f1-47b2-8bbd-b4c234102932,bloodpressuregauge.cool,available,9.99,,48,1,20,name.com,,
07fb64bd-0b87-41ac-b7c5-0bda1d13a020,drying.cool,available,9.99,,68,6,6,name.com,,
0839cd89-9c13-4821-8d74-44a197dca73c,stepoff.cool,available,9.99,,68,2,8,name.com,,
0862e8ae-c412-4bee-a492-975398cba88b,roastpork.cool,available,9.99,,76,1,10,name.com,,
08690222-cc5d-4dd1-a044-546cd7b59a4b,occurred.cool,available,9.99,,60,3,8,name.com,,
0870e787-989a-4da5-b8f0-7b01bcfa2dd9,thanksbe.cool,available,9.99,,60,1,9,name.com,,
087a7801-1be7-4294-a17e-6b3fc87291b0,adverbs.cool,available,9.99,,50,3,7,name.com,,
0885141f-d2c2-4a4f-9bff-5bd6f8831c84,universities.cool,available,9.99,,54,9,12,name.com,,
0887b6e9-0574-453b-986b-c9dc286bd984,faintest.cool,available,9.99,,56,1,8,name.com,,
08cf4832-c649-44bd-802c-bd1cb4aea15c,commonsalt.cool,available,9.99,,72,1,11,name.com,,
08d4a607-419a-42ae-84af-af7897798cca,holdings.cool,premium,123.75,,52,14,8,name.com,,
